0.8	0.312377
[0, 0;
0, -6.28319;
-6.28319, 0;
6.28319, 0;
0, 6.28319;
6.28319, 6.28319;
-6.28319, 6.28319;
-6.28319, -6.28319;
6.28319, -6.28319;
0, 12.5664;
-12.5664, 0;
12.5664, 0;
0, -12.5664;
6.28319, 12.5664;
-12.5664, -6.28319;
-6.28319, -12.5664;
-6.28319, 12.5664;
6.28319, -12.5664;
12.5664, -6.28319;
-12.5664, 6.28319;
12.5664, 6.28319;
-12.5664, 12.5664;
12.5664, -12.5664;
-12.5664, -12.5664;
12.5664, 12.5664;
0, -18.8496;
18.8496, 0;
-18.8496, 0;
0, 18.8496;
18.8496, 6.28319;
-18.8496, 6.28319;
6.28319, -18.8496;
-6.28319, 18.8496;
-6.28319, -18.8496;
-18.8496, -6.28319;
18.8496, -6.28319;
6.28319, 18.8496;
18.8496, 12.5664;
-12.5664, -18.8496;
18.8496, -12.5664;
-12.5664, 18.8496;
12.5664, -18.8496;
-18.8496, 12.5664;
12.5664, 18.8496;
-18.8496, -12.5664;
25.1327, 0;
-25.1327, 0;
0, 25.1327;
0, -25.1327;
-25.1327, 6.28319;
-6.28319, -25.1327;
25.1327, -6.28319;
-25.1327, -6.28319;
6.28319, 25.1327;
-6.28319, 25.1327;
6.28319, -25.1327;
25.1327, 6.28319;
18.8496, 18.8496;
18.8496, -18.8496;
-18.8496, -18.8496;
-18.8496, 18.8496;
-25.1327, 12.5664;
25.1327, 12.5664;
-12.5664, -25.1327;
12.5664, -25.1327;
-12.5664, 25.1327;
-25.1327, -12.5664;
12.5664, 25.1327;
25.1327, -12.5664;
18.8496, -25.1327;
25.1327, -18.8496;
-25.1327, -18.8496;
0, 31.4159;
-18.8496, 25.1327;
31.4159, 0;
-25.1327, 18.8496;
-18.8496, -25.1327;
18.8496, 25.1327;
-31.4159, 0;
0, -31.4159;
25.1327, 18.8496;
31.4159, -6.28319;
6.28319, -31.4159;
6.28319, 31.4159;
31.4159, 6.28319;
-6.28319, -31.4159;
-31.4159, -6.28319;
-31.4159, 6.28319;
-6.28319, 31.4159;
12.5664, -31.4159;
-12.5664, 31.4159;
-31.4159, 12.5664;
-12.5664, -31.4159;
31.4159, -12.5664;
12.5664, 31.4159;
31.4159, 12.5664;
-31.4159, -12.5664]
